V1,flag,B1_4_7,B5_4_7,L_4_7,loc.B5_4_7,B1_B5_angle_4_7,NPA_1,NPA_3,NPA_2,NPA_18,NPA_27,NPA_29,diff_NBO_1_3,diff_NBO_2_18,diff_NBO_27_29,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-1-3-,-2-18-,-27-29-,cross_1,cross.angle_1,para_1,para.angle_1,-5V6-,-23V24-,-25V26-,Dihedral(1_4_7_8),Dihedral(1_2_19_27),"Dist(1, 3)","Dist(2, 18)","Dist(27, 29)",class
m_OMe,11,1.7,4.57,7.07,5.83,94,0.68816,-0.63113,-0.61905,0.43497,0.78565,-0.56108,1.31929,-1.05402,1.34673,-1.338,-1.0806,-0.4134,1.7689,-0.2163,-1.193,1.288,1778.1208,3598.8201,1905.7739,1656.9253,70.2516434106302,1686.0496,20.6169319106472,1462.5504,1501.2633,1533.0899,88.3937644535022,175.080005083482,1.21514667893016,1.01117694839083,1.19222767927146,2
m_SMe,12,1.7,4.51,7.61,4.35,92,0.6878,-0.63007,-0.61909,0.43452,0.78548,-0.56036,1.31787,-1.05361,1.34584,-1.7964,-0.8679,-0.3714,2.0294,-0.128,-1.0096,1.7557,1779.5193,3597.658,1905.8387,1644.1191,73.3511490777966,1669.5036,18.7028703534792,1462.7142,1499.2471,1533.1251,90.086698478326,175.517760175704,1.21495568820678,1.01123410017068,1.19214780555601,1
mm_CF3,13,2.4,4.91,7,3.58,84,0.68613,-0.62004,-0.61711,0.42986,0.7855,-0.56139,1.30617,-1.04697,1.34689,-1.2133,3.3485,0.2201,3.5683,-0.112,3.2679,1.4288,1786.7955,3602.8161,1904.2991,1693.9018,51.8165290795086,1691.0233,37.1387284249175,1466.2878,1501.5614,1533.0437,86.2032862176626,174.252435377552,1.21310507313299,1.01063761992368,1.19252285748199,1
mp_Cl,14,1.7,4.53,7.82,4.41,92,0.68657,-0.62454,-0.61907,0.43201,0.78539,-0.56046,1.31111,-1.05108,1.34585,-2.2723,2.6789,-0.2474,3.5215,-0.2357,2.3253,2.6342,1782.99,3601.6477,1905.1557,1632.4789,85.596616855728,1668.2319,6.4910860911129,1463.6368,1499.4743,1533.8428,89.7408801686418,176.04869150639,1.21399877620449,1.01103322355203,1.19227933042807,2
o_Br,15,1.76,4.83,6.39,1.48,95,0.69173,-0.6271,-0.62042,0.42941,0.7862,-0.56075,1.31883,-1.04983,1.34695,-2.3139,-2.3609,0.3796,3.3275,-1.1351,1.9008,2.4841,1784.762,3602.1444,1905.2767,1640.6019,84.0267654620932,1667.0494,1.69284436333871,1492.4116,1500.0358,1533.5092,96.8346550798108,177.870259627383,1.2147036660791,1.01097685487404,1.19222674721087,1
o_Cl,16,1.72,4.53,6.39,1.5,93,0.69155,-0.62595,-0.61999,0.42924,0.78605,-0.56089,1.3175,-1.04923,1.34694,-2.3156,-2.3176,0.3917,3.2995,-1.1298,1.7889,2.5318,1786.2964,3606.0753,1905.4736,1645.4726,81.5712950926686,1670.3037,4.59729062462,1491.7775,1499.9553,1532.3333,95.2546265141343,177.160851961384,1.21452247436637,1.01073752393191,1.19223140419383,1
o_F,17,1.7,3.7,6.39,1.53,90,0.69039,-0.6222,-0.62012,0.43001,0.78561,-0.56051,1.31259,-1.05013,1.34612,-2.3325,-2.115,0.4413,3.1794,-1.144,1.4027,2.6139,1790.1432,3606.6035,1906.2151,1663.0098,82.9866837110704,1691.9687,7.39727603687974,1483.227,1500.5376,1534.2624,88.7730826118476,176.300718220312,1.21401492068343,1.01082849591313,1.19213392629058,2
o_I,18,1.81,5.22,6.39,1.45,97,0.6919,-0.62857,-0.61961,0.42941,0.78643,-0.56131,1.32047,-1.04902,1.34774,-2.0481,-2.3205,0.4236,3.1239,-1.0146,1.8868,2.2736,1783.3873,3599.7267,1904.9028,1636.0366,82.4189240058015,1661.557,3.23732917335868,1491.6693,1500.2692,1533.9731,98.7683587987974,177.986773302097,1.21483095598071,1.0109441860365,1.19232803749178,2
o_Naph,19,1.7,5.61,6.43,1.75,91,0.69092,-0.62853,-0.62235,0.4309,0.78612,-0.56042,1.31945,-1.05325,1.34654,-0.3432,0.7546,-0.2922,0.879,-0.3374,0.4485,0.6765,1781.9852,3585.3488,1906.0397,1704.1535,89.0425753375396,1660.2232,6.43073216776981,1469.9256,1500.6052,1533.6172,65.9041425839955,174.929811108544,1.21515304809271,1.01214484895641,1.19210843292924,2
o_nitro,20,1.78,4.75,6.4,2.37,82,0.69105,-0.63156,-0.61881,0.4457,0.78376,-0.5533,1.32261,-1.06451,1.33706,-4.6695,-3.4469,0.0821,5.8044,-1.7935,3.8924,3.9146,1780.446,3585.6114,1911.0187,1648.6438,78.8142144066451,1699.2371,7.74153236942627,1493.1031,1499.9629,1532.8124,108.08185851182,177.343951794016,1.21601780082777,1.01219891915917,1.19102370205005,2
p_amine,21,1.7,3.14,7.21,4.14,93,0.68618,-0.63494,-0.61934,0.43477,0.7848,-0.56021,1.32112,-1.05411,1.34501,-1.5711,-1.5046,-1.3379,2.5538,-1.3017,-1.5711,1.5361,1775.8479,3599.3346,1905.883,1651.723,89.7198290967286,1695.9939,0.74982698283193,1459.2636,1501.7416,1533.3713,85.3578093370138,172.244513340789,1.21584452604188,1.01094181446313,1.19210552630923,1
p_azide,22,1.7,3.6,8.67,6.97,96,0.68654,-0.62885,-0.61883,0.433,0.78539,-0.56192,1.31539,-1.05183,1.34731,-1.4124,1.6148,-0.1702,2.152,-0.4418,1.6058,1.3629,1780.6393,3604.3706,1904.6008,1648.4507,83.3650987425311,1684.7179,5.94896272928499,1462.303,1499.4154,1532.8386,85.574141974057,172.937827190259,1.21468660799854,1.01078249001998,1.19246202715307,2
p_boc,23,2.15,4.25,12.12,8.19,141,0.68683,-0.63204,-0.61897,0.4339,0.78533,-0.56216,1.31887,-1.05287,1.34749,0.1512,-1.7003,-0.1735,1.7158,0.0488,-1.7116,-0.1093,1778.2004,3603.8175,1904.1018,1656.5318,87.886459593825,1691.2728,2.71824805492108,1460.7628,1500.6577,1532.4831,83.8405883586366,171.653535148479,1.21527587070015,1.01071330445384,1.19243539167957,1
p_Br,24,1.81,3.14,8.13,4.15,94,0.68674,-0.62745,-0.61837,0.43244,0.78499,-0.56085,1.31419,-1.05081,1.34584,-1.5068,1.9161,-0.0831,2.439,-0.4172,1.9777,1.3652,1781.2982,3604.0299,1905.3784,1645.1552,88.5403832510414,1669.6299,1.87083296402462,1463.4671,1500.0079,1532.958,85.9348857070783,172.73222951014,1.21446587336738,1.01077807942644,1.1923223123187,2
p_Cl,25,1.7,3.14,7.82,4.15,93,0.68667,-0.62777,-0.61848,0.43253,0.78497,-0.56096,1.31444,-1.05101,1.34593,-1.5075,1.8505,-0.0822,2.3882,-0.4225,1.8894,1.3984,1780.07,3603.6216,1905.2732,1646.5502,88.3197384050405,1674.3019,1.96058665578294,1464.0732,1499.6374,1533.155,84.8482485109602,172.358990030557,1.21452855254292,1.01080443196595,1.19233846731706,2
p_CN,26,1.7,3.14,8.57,4.14,91,0.68719,-0.62258,-0.61777,0.43116,0.78504,-0.56155,1.30977,-1.04893,1.34659,-1.4994,4.9491,0.2212,5.1759,-0.4637,5.0348,1.1071,1783.5536,3602.4544,1904.5082,1636.8706,88.9135180116131,1686.9869,1.19665095963225,1465.4619,1500.4471,1532.9316,84.4381459150505,171.989557260225,1.21357276750469,1.0107148342965,1.19253154161095,1
p_F,27,1.7,3.14,6.96,1.68,91,0.68606,-0.62907,-0.61875,0.43288,0.78519,-0.56122,1.31513,-1.05163,1.34641,-1.4392,1.745,-0.2185,2.2725,-0.4797,1.7247,1.3998,1779.7279,3600.3817,1905.0696,1669.7073,88.3722154093442,1688.6203,2.06762278003138,1461.8847,1499.8984,1533.5723,85.9397303583251,173.561883146852,1.21477598306354,1.01080693976644,1.19235282121526,2
p_I,28,2.01,3.15,8.53,4.14,94,0.6869,-0.6275,-0.61844,0.43278,0.785,-0.5606,1.3144,-1.05122,1.3456,-1.4372,1.7975,-0.1272,2.3049,-0.4018,1.7897,1.3958,1780.5737,3602.2428,1905.3589,1639.4967,88.0073986478492,1665.7078,2.18224388631315,1462.9354,1500.413,1533.3669,85.7068893629206,173.328090501223,1.21442553921638,1.0108900673184,1.19228765938175,2
p_Me,29,1.7,3.15,7.32,4.13,93,0.68732,-0.63169,-0.61953,0.43468,0.78545,-0.56143,1.31901,-1.05421,1.34688,-1.3381,-0.2385,-0.3279,1.3982,-0.3469,-0.3376,1.3117,1777.931,3598.4947,1904.9834,1647.6538,88.767918837898,1692.1776,0.984903752331621,1461.768,1499.2586,1533.3576,84.3707398672121,173.886920489439,1.21523597503366,1.011059354231,1.19231700379136,1
p_nitro,30,1.7,3.14,7.64,1.67,89,0.68721,-0.62173,-0.61755,0.43101,0.78525,-0.56146,1.30894,-1.04856,1.34671,-1.3954,5.12,0.1629,5.3093,-0.4524,5.1408,1.2475,1785.0672,3601.9646,1904.0176,1653.6642,88.9718945147388,1676.745,0.488452019668996,1468.0314,1499.4075,1533.2847,85.6209342645391,173.535217558642,1.21339020692521,1.01078838160418,1.19253280576678,2
p_OEt,31,1.7,3.15,9.5,4.13,93,0.68651,-0.63284,-0.61945,0.43418,0.78541,-0.56205,1.31935,-1.05363,1.34746,-0.3974,-0.8703,-0.295,1.0012,-0.2163,-0.8703,0.445,1777.2684,3601.073,1904.1272,1651.1906,81.6902840986178,1691.9442,9.29272265066369,1460.7931,1500.7879,1532.9915,86.8651633961261,172.395060910079,1.21543564866635,1.010858967584,1.19240088722585,1
p_OH,32,1.7,3.14,7.02,4.14,93,0.68621,-0.632,-0.61924,0.43366,0.78536,-0.56227,1.31821,-1.0529,1.34763,-0.2488,-0.0362,-0.2273,0.339,-0.2441,-0.0513,0.2295,1778.2754,3601.3148,1904.2876,1666.5763,78.7007032787042,1693.5474,8.68461678734693,1460.4456,1501.6091,1533.2916,85.1345276020077,172.085031007663,1.21529073794381,1.0107307830466,1.19246685077867,1
p_OMe,33,1.7,3.15,8.45,4.13,93,0.68652,-0.63244,-0.61947,0.43407,0.78542,-0.5622,1.31896,-1.05354,1.34762,-0.3563,-0.6177,-0.2635,0.7601,-0.2144,-0.6226,0.3799,1778.2245,3601.3429,1904.5665,1652.2283,81.8376809413584,1691.9606,8.26765615978019,1460.7574,1500.7658,1533.7283,86.1977729314429,172.165871939348,1.21535407662911,1.01085273943834,1.19243786421138,2
p_Ph,34,2.02,3.28,10.68,8.39,117,0.68743,-0.63022,-0.61946,0.43441,0.78527,-0.56038,1.31765,-1.05387,1.34565,-1.217,0.1456,-0.409,1.2921,-0.3507,-0.0107,1.2435,1779.0387,3599.9531,1905.5472,1634.0274,89.7399906047564,1688.4854,1.16366398006354,1462.9465,1500.9633,1533.6343,87.8928388411595,175.181026845223,1.2150017046523,1.01117817658957,1.19217534344953,2
p_SCF3,35,1.88,3.82,9.07,5.91,158,0.68742,-0.62477,-0.61848,0.43208,0.78547,-0.56199,1.31219,-1.05056,1.34746,-1.3684,2.9466,1.1334,3.4408,0.7217,3.0407,1.4398,1782.8206,3601.6268,1904.08,1637.4454,89.4218564455386,1672.949,0.152767262643511,1463.8357,1499.9079,1533.6879,84.9838042819873,173.79330333318,1.21395747782902,1.01086591260612,1.19254778209261,2
p_SMe,36,1.7,3.35,8.68,6.2,118,0.68677,-0.63063,-0.62,0.4342,0.78525,-0.56027,1.3174,-1.0542,1.34552,-2.4938,0.3052,-0.367,2.5391,-0.3003,-0.0389,2.521,1778.7936,3594.7848,1905.7814,1632.4107,84.7005706448547,1678.0412,3.93344013708436,1460.8156,1499.7107,1533.6792,85.6513346408639,175.369755816645,1.21508963219262,1.01120306866326,1.19215488915619,2
p_tfm,37,2.12,3.14,7.67,4.14,113,0.68711,-0.62494,-0.61797,0.43182,0.78505,-0.56113,1.31205,-1.04979,1.34618,-1.4307,3.0686,0.0821,3.3867,-0.3785,3.1724,1.1234,1782.577,3605.9309,1904.8546,1657.9077,85.8433295211795,1695.7919,2.86833919239263,1465.3749,1500.362,1533.3532,86.4777793813013,172.60529401217,1.21401994911492,1.01073816350279,1.19241129664978,2
penta_F,38,1.7,3.7,6.97,4.27,91,0.68848,-0.61609,-0.61676,0.42505,0.78663,-0.56431,1.30457,-1.04181,1.35094,-1.242,2.3602,0.0484,2.6675,-0.0669,2.3366,1.285,1791.5094,3606.7594,1902.7843,1706.7143,88.1453047615341,1721.9528,1.73710148539992,1458.1599,1500.6786,1533.3143,91.091070277899,176.41344872633,1.2120882175176,1.01031234768115,1.19296636827448,2
